whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Jim Beam Devil's Cut,Jim Beam Black 8 Double Aged,Jim Beam Signature Craft 12,Baker's 107,Jim Beam Bonded,Knob Creek Rye,Knob Creek 9 Small Batch,Jim Beam White Label,Booker's Bourbon,Knob Creek Single Barrel Reserve,Old Grand Dad 114,Old Grand Dad 100 Bottled in Bond,Basil Hayden's,Evan Williams Black Label,Evan Williams White Label Bottled in Bond,Colonel E.H. Taylor Small Batch,Woodford Reserve Distiller's Select,George Dickel No. 12,Jack Daniel's Old No. 7,Wild Turkey 81,Rebel Yell 10 Single Barrel,Henry McKenna 10 Single Barrel,Blanton's Original Single Barrel,Glenmorangie Ealanta,Eagle Rare 10,Rowan's Creek,Bulleit Bourbon,Noah's Mill,1792 Full Proof,Elmer T. Lee,Orphan Barrel Barterhouse 20,Old Forester 86,Evan Williams Single Barrel 2003,Russell's Reserve Single Barrel Bourbon,Wild Turkey 101,Elijah Craig 12,Four Roses Small Batch,Four Roses Yellow Label,Wild Turkey Rare Breed,Buffalo Trace,Woodford Reserve Double Oaked,Blanton's Straight from the Barrel,Jack Daniel's Single Barrel,Elijah Craig Barrel Proof,Colonel E.H. Taylor Barrel Proof,Michter's 10 Bourbon,Stagg Jr.,Black Maple Hill,Forty Creek Barrel Select,Four Roses Single Barrel,Johnny Drum Private Stock,0.5992,0.5511,0.5301,0.5047,0.4912,0.454,0.452,0.4179,0.4082,0.3588,0.3083,0.2998,0.2569,0.2453,0.2212,0.211,0.2063,0.2026,0.2022,0.2,0.1997,0.1984,0.1971,0.1958,0.1894,0.1812,0.1805,0.1805,0.1786,0.1782,0.1765,0.1761,0.1756,0.1742,0.174,0.1731,0.1728,0.1694,0.1692,0.1653,0.1634,0.1593,0.1592,0.1576,0.1544,0.1543,0.1503,0.1502,0.1501,0.1494
Bruichladdich 21 Cuvee 407 PX,Glenfarclas 105 Cask Strength,GlenDronach 15 Revival,GlenDronach 21 Parliament,Glenfarclas 12,GlenDronach 12 Original,Macallan Sherry Cask Strength,Bunnahabhain 12,Glenmorangie Lasanta,Aberlour 12 Non Chill Filtered,Auchentoshan Three Wood,Glenfarclas 40,Balvenie 12 Doublewood,Glenfarclas 15,Aberlour 12 Double Cask Matured,Macallan 12 Sherry,Bruichladdich Black Art 4.1,Glenlivet 18,Aberlour A'bunadh batch #45,Bunnahabhain 18,Glenfarclas 17,Bruichladdich Black Art 2.2,Balvenie 15 Single Barrel Sherry Cask,Benrinnes 23,Macallan Edition No. 2,Glengoyne 25,Glenfarclas 25,Bruichladdich Black Art 3.1,Tobermory 15,Glengoyne 21,Balvenie 17 Doublewood,BenRiach 12 Sherry Matured,Kavalan Solist Sherry,Springbank 12 Cask Strength,Aberlour 10,Glenfiddich 15,Dalmore 12,Macallan 18 Sherry,Old Pulteney 21,Mortlach Rare Old,Balvenie Tun 1401 Batch #3,Aberlour 16,Macallan Classic Cut 2017,Highland Park 25,Glenfarclas 10,Benromach 10,Highland Park 18,Michel Couvreur 12 Overaged Malt Whiskey,Laphroaig PX Cask,Macallan Rare Cask,Clynelish 14,0.3941,0.3873,0.3679,0.3638,0.3618,0.3544,0.3535,0.3517,0.3496,0.3349,0.3348,0.3344,0.3301,0.3273,0.3239,0.3237,0.3209,0.3204,0.3153,0.313,0.3125,0.3116,0.3112,0.3106,0.3056,0.3019,0.3015,0.3015,0.2979,0.2975,0.2968,0.294,0.2883,0.2852,0.2844,0.2832,0.2811,0.281,0.2808,0.2793,0.2754,0.2738,0.2727,0.2727,0.2718,0.2714,0.271,0.2687,0.2666,0.2659
Talisker 175th Anniversary,Talisker 10,Oban 14,Talisker 57° North,Lagavulin 16,Caol Ila 12,Springbank 10,Highland Park 12,Laphroaig 10,Laphroaig 18,Ardbeg 10,Ardbeg Uigeadail,Old Pulteney 12,Lagavulin 8,Talisker 18,Talisker Storm,Bunnahabhain 12,Highland Park 18,Bowmore Vault Edition 1st Release,Kilchoman Machir Bay,Johnnie Walker Green Label,Lagavulin 12,Laphroaig Quarter Cask,Benromach 10,Ledaig 10,Bruichladdich The Laddie Ten,Ardbeg Ardbog,Springbank 15,Ardbeg Airigh Nam Beist 1990,Bowmore 12,Talisker 25,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Corryvreckan,Clynelish 14,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Compass Box Peat Monster,Ardbeg Galileo,Laphroaig Cairdeas 2015,Springbank 18,Laphroaig 10 Cask Strength,Laphroaig 15,Bunnahabhain Toiteach,Ardbeg Perpetuum,Ardbeg Day,Old Pulteney 21,Compass Box No Name,Highland Park 15,Johnnie Walker Black Label,Ardbeg Alligator,Bruichladdich Octomore 6.1,Longrow Peated,0.4583,0.4521,0.4232,0.413,0.4093,0.4057,0.4055,0.4024,0.3997,0.3993,0.3991,0.3989,0.3956,0.3952,0.395,0.3923,0.3869,0.3857,0.3841,0.3813,0.3792,0.3789,0.3775,0.3702,0.3696,0.3682,0.3667,0.3558,0.354,0.3503,0.3494,0.3486,0.3463,0.3417,0.3393,0.3336,0.333,0.3321,0.3317,0.3274,0.3251,0.3244,0.323,0.3203,0.3149,0.3148,0.3129,0.3115,0.3107,0.3099
Jefferson's 10 Rye Whiskey,Colonel E.H. Taylor Straight Rye,Rittenhouse Rye 100,WhistlePig 10 Straight Rye,Willett Family Estate Rye 4y,Pikesville Rye,Bulleit Rye,High West Double Rye,Sazerac Rye,High West Rendezvous Rye,Michter's 10 Rye,Michter's Barrel Strength Rye,Thomas H. Handy 2013,High West Bourye,Russell's Reserve Single Barrel Rye,Smooth Ambler Old Scout Rye 7,Angel's Envy Rye,Willett Family Estate Rye 3y,High West Son of Bourye,Four Roses Single Barrel,Thomas H. Handy 2014,J.P. Wiser's Dissertation,Bulleit Bourbon,Willett Family Estate Rye 2y,Alberta Premium Dark Horse,Four Roses Single Barrel Private Selection OBSQ,High West Campfire,Booker's Rye,Wild Turkey 101 Rye,Lot No. 40,Collingwood 21,Millstone 100 Rye,Bulleit Bourbon 10,Old Grand Dad 114,Four Roses Small Batch,High West A Midwinter Nights Dram,Wild Turkey Forgiven,Breckenridge Bourbon,Old Grand Dad 100 Bottled in Bond,Knob Creek Rye,Van Winkle Family Reserve Rye 13,Basil Hayden's,Thomas H. Handy 2016,Crown Royal Northern Harvest Rye,Very Old Barton Bottled In Bond,Wild Turkey 101,Blanton's Original Single Barrel,1792 Ridgemont Reserve,Woodford Reserve Distiller's Select,Smooth Ambler Old Scout Rye 8,Old Forester 86,0.751,0.7426,0.7359,0.7124,0.7031,0.7028,0.6954,0.6717,0.6686,0.6623,0.626,0.6238,0.61,0.5959,0.5901,0.5688,0.5491,0.5411,0.5398,0.5346,0.5256,0.5241,0.5238,0.5077,0.4974,0.4939,0.4895,0.4881,0.4824,0.4815,0.4796,0.4761,0.4534,0.4527,0.4518,0.4453,0.4404,0.4316,0.4267,0.4172,0.4169,0.4166,0.416,0.3981,0.3777,0.3741,0.373,0.3715,0.3715,0.3677
Oban Little Bay,Kilchoman Coull Point,Oban 14,Clynelish 14,Old Pulteney 12,Kilchoman Sanaig,Kilchoman Machir Bay,Old Pulteney 21,Bruichladdich The Laddie Ten,Bunnahabhain 12,Arran 14,Bunnahabhain 18,Talisker 175th Anniversary,Oban 18,Old Pulteney 17,Lagavulin 8,Highland Park 18,Talisker 10,Talisker Storm,Laphroaig 10,Highland Park 12,Dalwhinnie 15,Ardbeg Uigeadail,Johnnie Walker Green Label,Arran 10,Springbank 15,Talisker 57° North,Balvenie 12 Doublewood,Springbank 10,Lagavulin 12,Tobermory 15,Ardbeg Ardbog,Tobermory 10,Monkey Shoulder,Talisker 18,Springbank 12 Cask Strength,Glenlivet 16 Nadurra,Glenlivet 12,Laphroaig Lore,Glenmorangie 10 Original,Laphroaig 18,Laphroaig Quarter Cask,Jura 16,Ardbeg Dark Cove Committee Release,Glenfiddich 18,Lagavulin 16,Sheep Dip,Ardbeg 10,AnCnoc 12,Glenlivet 18,Aberfeldy 12,0.2635,0.2167,0.2129,0.2114,0.2077,0.2028,0.1915,0.1719,0.1677,0.1676,0.1647,0.1585,0.1571,0.1561,0.1548,0.1538,0.1525,0.1479,0.1463,0.1381,0.138,0.1373,0.1359,0.1336,0.1332,0.1295,0.1291,0.1285,0.1284,0.1271,0.1244,0.1242,0.1225,0.1204,0.1198,0.1181,0.1178,0.1177,0.1157,0.1153,0.1149,0.1147,0.1133,0.1128,0.111,0.1101,0.11,0.1098,0.1098,0.1095
Redbreast 21,Redbreast 12 Cask Strength,Redbreast Lustau Edition,Redbreast 12,Redbreast 15,Teeling Small Batch,Green Spot,Kavalan Solist Ex-Bourbon,Bushmills 10,Kavalan Solist Vinho Barrique,Glenlivet 18,Glenlivet 16 Nadurra,Yellow Spot,Jameson,Balvenie 17 Doublewood,Glengoyne 25,Amrut Intermediate Sherry,Balvenie 14 Caribbean Cask,Glenlivet 21 Archive,Glenfarclas 25,Auchentoshan Three Wood,Glenmorangie Ealanta,Arran 10,Glenfiddich 18,Glengoyne 18,Glenfarclas 12,Amrut Fusion,Glenlivet 12,Balvenie 15 Single Barrel,Glenfiddich 12,Bunnahabhain 18,Auchentoshan Valinch,GlenDronach 12 Original,Aberlour 12 Non Chill Filtered,Glenfiddich 15,Kavalan Solist Sherry,Glenlivet 15 French Oak Reserve,Glenfarclas 105 Cask Strength,Glenfarclas 21,GlenDronach 15 Revival,Glen Garioch 12,Springbank 15,Glenlivet 25,Glenmorangie 10 Original,Glenfarclas 17,Monkey Shoulder,Glengoyne 15,Balvenie 12 Single Barrel First Fill,Glengoyne 21,Balvenie 12 Doublewood,Dalwhinnie 15,0.404,0.3557,0.3457,0.3397,0.2819,0.2711,0.2517,0.209,0.2081,0.2072,0.2058,0.1933,0.1904,0.1862,0.1809,0.1769,0.1749,0.172,0.1719,0.1714,0.1707,0.17,0.1687,0.1673,0.1665,0.1652,0.165,0.155,0.1547,0.153,0.1521,0.1484,0.1477,0.1458,0.1455,0.1454,0.1445,0.144,0.1428,0.1399,0.1388,0.1367,0.1357,0.1351,0.1351,0.132,0.1319,0.1312,0.131,0.1296
Angel's Envy Cask Strength,Glenmorangie 12 Quinta Ruban,1792 Port Finish,Angel's Envy Bourbon,Balvenie 21 Portwood,Colonel E.H. Taylor Small Batch,Longrow Red 11 Fresh Port Cask,Elijah Craig Barrel Proof,Bulleit Bourbon,Four Roses Small Batch,Blanton's Straight from the Barrel,Elijah Craig 12,Wild Turkey 101,Old Grand Dad 114,Old Grand Dad 100 Bottled in Bond,Buffalo Trace,Stagg Jr.,Elmer T. Lee,Woodford Reserve Distiller's Select,Four Roses Single Barrel,Kilchoman Port Cask Matured,Booker's Bourbon,Henry McKenna 10 Single Barrel,Russell's Reserve Single Barrel Bourbon,Colonel E.H. Taylor Barrel Proof,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Laphroaig Cairdeas 2013 Portwood,BenRiach 17 Solstice,Talisker Port Ruighe,Amrut Portonova,Wild Turkey Rare Breed,Noah's Mill,Arran Port Cask Finish,Blanton's Original Single Barrel,High West A Midwinter Nights Dram,Black Maple Hill,Michter's 10 Bourbon,Arran Amarone Cask Finish,Four Roses Small Batch Limited Edition 2015,Orphan Barrel Barterhouse 20,George T. Stagg 2013,Bruichladdich Black Art 2.2,W.L. Weller 12,Old Weller Antique 107,Bruichladdich Black Art 3.1,Tomatin 14 Portwood,Bulleit Bourbon 10,Balvenie 15 Single Barrel,Parker's Heritage Collection 6th: Blend of Mashbills,Four Roses Yellow Label,Pappy Van Winkle Family Reserve Bourbon 15,0.4291,0.416,0.4097,0.3565,0.3033,0.2978,0.2946,0.2891,0.2809,0.2779,0.2749,0.2748,0.2731,0.2686,0.2686,0.2682,0.2681,0.2679,0.2671,0.2577,0.2576,0.2536,0.2522,0.2516,0.247,0.2465,0.246,0.2448,0.2427,0.2384,0.2366,0.2326,0.2323,0.2292,0.227,0.2266,0.2195,0.2159,0.2127,0.2051,0.2033,0.2032,0.2031,0.2016,0.2001,0.1992,0.1978,0.1953,0.1947,0.1924
Jim Beam Signature Craft 12,Jim Beam Black 8 Double Aged,Baker's 107,Knob Creek 9 Small Batch,Jim Beam Devil's Cut,Knob Creek Single Barrel Reserve,Jim Beam Bonded,Knob Creek Rye,Booker's Bourbon,Jim Beam White Label,Old Grand Dad 114,Basil Hayden's,Old Grand Dad 100 Bottled in Bond,Evan Williams White Label Bottled in Bond,Booker's 25th Anniversary,1792 Full Proof,Elijah Craig 12,Glenmorangie Ealanta,Evan Williams Black Label,W.L. Weller 12,Wild Turkey 81,Wild Turkey Rare Breed,Russell's Reserve Single Barrel Bourbon,Woodford Reserve Distiller's Select,Rowan's Creek,Henry McKenna 10 Single Barrel,Rebel Yell 10 Single Barrel,George Dickel No. 12,Orphan Barrel Barterhouse 20,Eagle Rare 10,Colonel E.H. Taylor Small Batch,Old Forester 1920,Elmer T. Lee,Elijah Craig Barrel Proof,Noah's Mill,Wild Turkey 101,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Forty Creek Barrel Select,Jack Daniel's Old No. 7,Old Weller Antique 107,Four Roses Single Barrel,Stagg Jr.,Woodford Reserve Double Oaked,Bulleit Bourbon,Old Rip Van Winkle 10,Michter's 10 Bourbon,Maker's Mark,Elijah Craig 18,Buffalo Trace,Four Roses Small Batch,Glenmorangie 10 Original,0.6478,0.6357,0.5748,0.5511,0.5338,0.4877,0.4841,0.4671,0.4156,0.3053,0.2573,0.2195,0.2127,0.1931,0.1864,0.1548,0.1502,0.147,0.1466,0.1423,0.1402,0.1386,0.1363,0.1356,0.1331,0.1327,0.1298,0.1287,0.1268,0.1256,0.1213,0.1185,0.1185,0.1182,0.1098,0.1056,0.1022,0.1021,0.1019,0.0977,0.0965,0.0955,0.0932,0.091,0.091,0.0904,0.0903,0.0872,0.086,0.0852
Parker's Heritage Collection 6th: Blend of Mashbills,Old Grand Dad 114,Blanton's Straight from the Barrel,Elijah Craig Barrel Proof,Colonel E.H. Taylor Barrel Proof,Wild Turkey Rare Breed,Four Roses Single Barrel,Colonel E.H. Taylor Small Batch,1792 Full Proof,Wild Turkey 101,Bulleit Bourbon,Henry McKenna 10 Single Barrel,Elmer T. Lee,Pikesville Rye,Stagg Jr.,Old Grand Dad 100 Bottled in Bond,Russell's Reserve Single Barrel Bourbon,Four Roses Small Batch,Four Roses Single Barrel Private Selection OBSQ,Old Forester 1920,Michter's 10 Bourbon,Elijah Craig 12,Booker's Bourbon,Blanton's Original Single Barrel,Rittenhouse Rye 100,Buffalo Trace,Noah's Mill,George T. Stagg 2013,Booker's Rye,High West Bourye,Thomas H. Handy 2013,Parker's Heritage Collection 7th: Promise of Hope,Smooth Ambler Old Scout Rye 8,Willett Family Estate Rye 4y,Bulleit Bourbon 10,Willett Family Estate Rye 3y,Michter's 10 Rye,Smooth Ambler Old Scout Rye 7,Colonel E.H. Taylor Straight Rye,Woodford Reserve Distiller's Select,Michter's Barrel Strength Rye,Angel's Envy Rye,Four Roses Small Batch Limited Edition 2013 125th Anniversary,WhistlePig 10 Straight Rye,Evan Williams White Label Bottled in Bond,High West Son of Bourye,High West Campfire,Eagle Rare 10,Old Ezra 101,Old Weller Antique 107,Bulleit Rye,0.4903,0.4696,0.4623,0.4515,0.4371,0.4179,0.416,0.3988,0.3922,0.3907,0.3794,0.3751,0.3739,0.3648,0.3638,0.361,0.3608,0.3576,0.3548,0.3545,0.3479,0.3428,0.3402,0.3368,0.3328,0.3312,0.3267,0.3234,0.322,0.3165,0.3163,0.3142,0.3116,0.3103,0.3,0.2969,0.2954,0.2936,0.2905,0.288,0.2875,0.2871,0.2865,0.2822,0.2733,0.2713,0.2705,0.2699,0.2692,0.2683
Compass Box 3 Year Old Deluxe,Clynelish 14,Springbank 10,Oban 14,Compass Box Enlightenment,Talisker 10,Benromach 10,Talisker 18,Compass Box The Lost Blend,Caol Ila 12,Springbank 15,Johnnie Walker Green Label,Highland Park 12,Compass Box Flaming Heart 15th Anniversary Edition,Talisker 25,Old Pulteney 12,Laphroaig Cairdeas 2017 Quarter Cask Cask Strength,Talisker 57° North,Compass Box Great King St. Glasgow Blend,Ardbeg 10,Ardbeg Airigh Nam Beist 1990,Ardbeg An Oa,Ardbeg Uigeadail,Highland Park 18,Lagavulin 12,Bruichladdich The Laddie Ten,Talisker Storm,Bowmore 12,Ledaig 10,Lagavulin 16,Highland Park 15,Laphroaig 18,Dalwhinnie 15,Bruichladdich Port Charlotte Scottish Barley,Bunnahabhain 12,Compass Box Flaming Heart,Kilchoman Machir Bay,Laphroaig 10,Laphroaig Quarter Cask,Laphroaig Lore,Compass Box No Name,Kilkerran 12,Sheep Dip,Lagavulin 8,Compass Box Peat Monster,Ardbeg Corryvreckan,Johnnie Walker Black Label,Amrut Fusion,Longrow Peated,Ardbeg Ardbog,Laphroaig 15,0.4223,0.3546,0.3449,0.3195,0.3174,0.3109,0.3103,0.3069,0.305,0.3026,0.302,0.3019,0.3014,0.2965,0.2947,0.2936,0.2908,0.2901,0.2874,0.2823,0.2795,0.2781,0.2776,0.2776,0.2774,0.2768,0.2767,0.2765,0.2748,0.2727,0.2712,0.2667,0.2644,0.2635,0.2615,0.2593,0.2581,0.2575,0.2513,0.2513,0.2498,0.2486,0.2463,0.2452,0.2419,0.2416,0.2402,0.2383,0.2375,0.2365
Bruichladdich Octomore 7.3,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardbeg 10,Bruichladdich Octomore 6.1,Ardbeg Uigeadail,Laphroaig Quarter Cask,Caol Ila 12,Kilchoman Machir Bay,Lagavulin 16,Ardbeg Galileo,Lagavulin 12,Laphroaig 18,Ardbeg Corryvreckan,Ledaig 10,Bruichladdich Port Charlotte Scottish Barley,Ardbeg Ardbog,Bruichladdich Octomore 7.2,Talisker 10,Springbank 10,Laphroaig 10,Talisker 57° North,Longrow Peated,Lagavulin 8,Highland Park 12,Bruichladdich Port Charlotte 10,Bowmore 12,Longrow Red 11 Australian Shiraz,Springbank 15,Laphroaig 10 Cask Strength,Bruichladdich The Laddie Ten,Bruichladdich Octomore 6.2,Laphroaig Cairdeas 2014 Amontillado,Ardbeg Airigh Nam Beist 1990,Ardmore Traditional Cask Peated,Bunnahabhain Toiteach,Bruichladdich Octomore 6.3,Kilchoman Sanaig,Compass Box Peat Monster,Benromach 10,Balvenie 17 Peated Cask,Laphroaig Cairdeas 2015,Ardbeg Perpetuum,Bruichladdich Octomore 4.2_167 Comus,Laphroaig Cairdeas 2013 Portwood,Talisker 25,BenRiach 10 Curiositas,Bruichladdich Octomore 7.4,Caol Ila 18,Laphroaig Cairdeas 2016 Madeira,Laphroaig Cairdeas 2012 Origin,Amrut Fusion,0.5276,0.5115,0.5052,0.4939,0.4932,0.4927,0.4911,0.4871,0.486,0.4803,0.4801,0.4785,0.4781,0.4764,0.4742,0.4736,0.4712,0.4689,0.4672,0.4563,0.448,0.4442,0.4438,0.4421,0.4398,0.4378,0.4375,0.4363,0.433,0.4195,0.4177,0.4175,0.4174,0.4166,0.4149,0.4148,0.4144,0.4112,0.4108,0.4053,0.403,0.4002,0.3996,0.3957,0.3953,0.3944,0.3915,0.3913,0.3905,0.3885
Glen Moray 12,AnCnoc 12,Glenfiddich 12,Glenmorangie 10 Original,Glenkinchie 12,Glenlivet 12,Arran 10,Glenlivet 16 Nadurra,Craigellachie 13,Dalwhinnie 15,Monkey Shoulder,Deanston 12,Cragganmore 12,Auchentoshan Classic,Speyburn 10,Aberfeldy 12,Glenlivet 15 French Oak Reserve,Oban 14,Macallan 10 Fine Oak,Tobermory 10,Balvenie 15 Single Barrel,Chivas Regal 12,Old Pulteney 12,Arran 14,Clynelish 14,Auchentoshan Valinch,Cardhu 12,Deanston Virgin Oak,Glenmorangie 18,Bruichladdich The Laddie Ten,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Balvenie 12 Single Barrel First Fill,Johnnie Walker Green Label,Johnnie Walker Blue Label,Compass Box Enlightenment,Bushmills 10,Compass Box Oak Cross,Glengoyne 10,Compass Box Great King St. Artist's Blend,Glenfiddich 18,Singleton of Glendullan 12,Johnnie Walker Black Label,Kilkerran 12,Westland Sherry Wood,Glenmorangie Astar,Aultmore 12,Yellow Spot,Glenlivet 18,Balvenie 12 Doublewood,Glenfiddich 14 Rich Oak,Glenfiddich Experimental Series IPA Cask Finish,0.3284,0.3067,0.2913,0.2584,0.2569,0.2478,0.2441,0.2421,0.2396,0.2364,0.235,0.2318,0.2226,0.2199,0.2172,0.2143,0.209,0.2051,0.202,0.1957,0.1933,0.1932,0.1916,0.182,0.1766,0.1752,0.1732,0.1678,0.167,0.1629,0.1621,0.1602,0.1595,0.159,0.158,0.1553,0.155,0.1549,0.1537,0.153,0.1526,0.1519,0.1498,0.1486,0.1475,0.146,0.1455,0.1452,0.1442,0.1426
BenRiach 12 Importanticus Fumosus,BenRiach 17 Solstice,Laphroaig Cairdeas 2013 Portwood,Lagavulin 16,Ardbeg 10,Laphroaig 18,Ardbeg Uigeadail,Longrow Red 11 Fresh Port Cask,Laphroaig Quarter Cask,Ardbeg Galileo,Caol Ila 12,Ardbeg Corryvreckan,Kilchoman Machir Bay,Talisker 10,Talisker Port Ruighe,Laphroaig 10,Ledaig 10,Bruichladdich Port Charlotte Scottish Barley,Laphroaig Triplewood,Lagavulin 12,Ardmore Traditional Cask Peated,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Bruichladdich Octomore 6.1,Highland Park 12,Laphroaig 10 Cask Strength,BenRiach 10 Curiositas,Talisker 57° North,Ardbeg Ardbog,Lagavulin 8,Benromach 10,Springbank 10,Kilchoman Port Cask Matured,Compass Box Peat Monster,Longrow Peated,Bowmore 15 Darkest,Bowmore 12,Bruichladdich Port Charlotte 10,Bunnahabhain Toiteach,Longrow Red 11 Australian Shiraz,Laphroaig Cairdeas 2016 Madeira,Springbank 15,Bruichladdich Octomore 4.2_167 Comus,Laphroaig Cairdeas 2015,Longrow Red 11 Cabernet Sauvignon,Kilchoman Sanaig,Port Ellen 32 12th Release,Balvenie 17 Peated Cask,Highland Park 15 Loki,Jura Superstition,Finlaggan Old Reserve,Amrut Fusion,0.619,0.6166,0.5916,0.5748,0.5691,0.5652,0.5558,0.5524,0.5429,0.5369,0.5313,0.531,0.5295,0.5248,0.5225,0.5221,0.5153,0.5137,0.5077,0.5069,0.506,0.5051,0.5043,0.5035,0.4966,0.4953,0.4944,0.4927,0.4869,0.4824,0.4812,0.4806,0.4765,0.4764,0.4733,0.4683,0.4621,0.462,0.461,0.458,0.449,0.4474,0.4467,0.4451,0.443,0.4428,0.4428,0.4417,0.4413,0.4315
Thomas H. Handy 2016,Colonel E.H. Taylor Straight Rye,Michter's Barrel Strength Rye,Pikesville Rye,WhistlePig 10 Straight Rye,Bulleit Rye,Rittenhouse Rye 100,Sazerac Rye,Thomas H. Handy 2013,High West Rendezvous Rye,Willett Family Estate Rye 4y,Smooth Ambler Old Scout Rye 7,Russell's Reserve Single Barrel Rye,High West Double Rye,Willett Family Estate Rye 3y,Thomas H. Handy 2014,Jefferson's 10 Rye Whiskey,Booker's Rye,Michter's 10 Rye,High West Bourye,High West Son of Bourye,Angel's Envy Rye,Four Roses Single Barrel Private Selection OBSQ,Four Roses Single Barrel,J.P. Wiser's Dissertation,Bulleit Bourbon,Old Grand Dad 114,High West A Midwinter Nights Dram,Lot No. 40,Van Winkle Family Reserve Rye 13,Willett Family Estate Rye 2y,Wild Turkey Forgiven,Collingwood 21,Four Roses Small Batch,Alberta Premium Dark Horse,Millstone 100 Rye,Bulleit Bourbon 10,Smooth Ambler Old Scout Rye 8,Wild Turkey 101 Rye,High West Campfire,1792 Ridgemont Reserve,Old Grand Dad 100 Bottled in Bond,Four Roses Single Barrel Private Selection OBSK,Blanton's Straight from the Barrel,Knob Creek Rye,Wild Turkey 101,Russell's Reserve Single Barrel Bourbon,Old Forester 86,Noah's Mill,Very Old Barton Bottled In Bond,Four Roses Single Barrel Private Selection OBSF,0.5191,0.5058,0.4874,0.4815,0.4754,0.4726,0.4647,0.4602,0.4578,0.4564,0.4472,0.4443,0.4255,0.4205,0.4188,0.4166,0.4126,0.4068,0.404,0.3944,0.3735,0.3619,0.3611,0.3546,0.35,0.342,0.3401,0.3355,0.3347,0.3316,0.3284,0.3238,0.3166,0.3074,0.3055,0.3044,0.3035,0.3024,0.2982,0.2959,0.2934,0.2735,0.2675,0.2653,0.2649,0.2635,0.2631,0.2612,0.2604,0.2564
Bushmills Black Bush,Bushmills 10,Famous Grouse,Green Spot,Glenfiddich 15,Aberlour 12 Double Cask Matured,Glenfarclas 12,Balvenie 12 Doublewood,Glenfiddich 12,Monkey Shoulder,Aberlour 12 Non Chill Filtered,Balvenie 17 Doublewood,Jameson,Yellow Spot,Glenmorangie Lasanta,Glenfarclas 17,Tomatin 12,Chivas Regal 12,Glenlivet 18,GlenDronach 12 Original,Aberlour 10,Macallan 10 Fine Oak,Clynelish 14,Macallan Sherry Cask Strength,Redbreast 12,Auchentoshan Three Wood,Arran 10,Redbreast 15,Glenfarclas 105 Cask Strength,Macallan 12 Sherry,Glenfiddich 18,GlenDronach 15 Revival,Glenlivet 16 Nadurra,BenRiach 12,Johnnie Walker Gold Label,Glenlivet 12,Glenfarclas 15,Glenmorangie 10 Original,Aberlour 16,Glengoyne 21,Compass Box Great King St. Artist's Blend,Balvenie 15 Single Barrel,BenRiach 12 Sherry Matured,Dewar's 12,Bunnahabhain 12,Macallan 12 Double Cask,Dalmore 12,Dalwhinnie 15,AnCnoc 12,Johnnie Walker Red Label,Singleton of Glendullan 12,0.3633,0.3434,0.3404,0.3396,0.3274,0.3228,0.3214,0.3179,0.316,0.3149,0.3134,0.3107,0.3093,0.3083,0.3034,0.3011,0.3008,0.2995,0.2915,0.2902,0.2882,0.2858,0.2851,0.2847,0.283,0.2828,0.2776,0.2758,0.2747,0.2735,0.2726,0.2716,0.2714,0.2654,0.2644,0.2622,0.2615,0.2568,0.2552,0.255,0.2548,0.2526,0.2504,0.2499,0.2487,0.2479,0.2477,0.2471,0.2471,0.245
